symbol,yesterday_volume,volume_3_days,volume_5_days,volume_15_days,volume_30_days
DGT,1391.0,3029.6666666666665,2890.2,6606.066666666667,5117.266666666666
CORT,3106918.0,2262402.0,1939963.6,1230838.7333333334,1017556.7333333333
XOUT,11976.0,20393.0,25309.4,16715.466666666667,15309.966666666667
WCBR,28203.0,25384.333333333332,23202.0,29097.933333333334,22063.033333333333
NPCT,186914.0,199558.66666666666,186836.6,165881.86666666667,134176.6
FHN-F,3630.0,6952.333333333333,7174.8,10380.133333333333,15731.3
WAFU,16149.0,25736.333333333332,26315.4,52069.13333333333,78259.13333333333
CCVI,27843.0,234961.0,409523.8,196171.26666666666,173883.0
EPC,329403.0,429486.0,445158.8,394277.13333333336,400475.7
DXCM,1065497.0,1105964.6666666667,1131614.0,845917.6666666666,704915.3
BBCP,101950.0,85657.66666666667,139208.0,110608.6,129832.63333333333
DFIN,246478.0,213091.0,311517.2,296061.73333333334,302257.43333333335
FRSGW,35906.0,41987.666666666664,39421.8,94416.33333333333,91781.33333333333
IPVA.U,100.0,7368.333333333333,4480.0,2169.866666666667,2776.9666666666667
KIM,5206133.0,5198795.0,5477415.6,3983772.6,3925599.3666666667
WARR,5575.0,27858.0,29258.2,37925.066666666666,50545.6
RFCI,289545.0,103623.0,62792.8,23300.133333333335,14326.166666666666
GAPA+,66918.0,28871.666666666668,18343.0,8624.2,18034.233333333334
TTP,5479.0,4697.333333333333,5357.4,8263.4,7113.566666666667
UTG,444983.0,294240.0,306048.6,222680.06666666668,222644.36666666667
CVGW,130764.0,147072.66666666666,168092.8,160183.53333333333,166487.73333333334
FRST,30386.0,62304.666666666664,58975.6,46271.2,50464.933333333334
ALLK,747033.0,614277.3333333334,574462.2,424657.93333333335,344297.7
OXY+,212290.0,297213.6666666667,298618.0,394923.86666666664,383053.5333333333
PHO,191520.0,179876.0,181649.6,160254.4,188657.63333333333
NTWK,6301.0,25561.666666666668,29497.6,37124.13333333333,45081.9
HUGS.U,901.0,4186.333333333333,38197.2,26500.266666666666,170675.23333333334
INFY,6857179.0,7649840.333333333,7678067.6,6913486.4,6743946.1
ENVB,721095.0,917966.6666666666,933525.4,836349.5333333333,1070889.4
LYRA,49911.0,72415.0,60396.6,66577.8,55537.53333333333
LEJU,10766.0,46266.333333333336,49668.4,47981.666666666664,392690.8
PETZ,319657.0,431618.6666666667,611661.2,1090875.6,10953863.766666668
NEV,35800.0,68575.0,65220.8,45115.666666666664,53606.96666666667
PLT,195493.0,195493.0,195493.0,195493.0,195493.0
SPTKW,150.0,1530.3333333333333,1768.4,14132.2,20814.033333333333
AOA,181308.0,130927.66666666667,118407.6,83824.66666666667,74421.6
RSKD,1065666.0,1136840.0,1279927.0,2149951.6,1385901.9666666666
RFEM,28391.0,20074.333333333332,13771.4,6493.266666666666,5273.1
DLNG,16616.0,21411.0,28560.8,41704.46666666667,39722.23333333333
GF,30450.0,31398.666666666668,21035.2,22729.466666666667,19193.366666666665
MS-L,25314.0,27474.333333333332,43610.0,31210.6,31171.9
STM,2227546.0,2646798.6666666665,2552871.0,2125485.4,2057953.9
RCRTW,46160.0,27256.333333333332,22674.0,30909.733333333334,22469.833333333332
FDUS,111980.0,94098.33333333333,94959.2,79268.73333333334,73988.8
CTLP,196289.0,207313.33333333334,272186.8,253448.26666666666,278649.0
MDR,8773358.0,13270020.0,11837835.0,16758511.333333334,14591231.966666667
SEAS,1115289.0,1380731.6666666667,1568530.4,1152957.8666666667,1003980.9
CEI,32876534.0,32951107.333333332,43359960.4,79055305.06666666,64367531.06666667
FLLV,14148.0,31760.666666666668,28279.0,11854.333333333334,11532.966666666667
AOMR,42006.0,73900.66666666667,84117.8,101383.06666666667,75553.13333333333
LGV+,38866.0,21930.666666666668,17258.2,25567.4,19780.6
FRGI,225466.0,140025.0,135420.8,91899.4,73621.6
