symbol,today_change,today_change_by_%,today_to_yesterday_change,today_to_yesterday_change_by_%,yesterday_volume,volume_3_days,volume_5_days,volume_15_days,volume_30_days
DFIV,0.0,0.0,0.3348000000000013,1.0418481913913755,291646.0,246728.66666666666,239266.2,187957.06666666668,154613.76666666666
ALLE,0.960000000000008,0.7348438456827986,2.3799999999999955,1.8418201516793031,854764.0,818212.3333333334,925259.0,598082.5333333333,653639.5666666667
TRU,0.4000000000000057,0.3520197131039388,1.3799999999999955,1.225033288948065,835463.0,863117.3333333334,1018308.0,964483.6666666666,967935.1
PV+,-0.0696000000000001,-8.486769906109023,-0.0696000000000001,-8.486769906109023,3820.0,23546.666666666668,25352.8,43289.53333333333,30487.566666666666
HBAN,0.05000000000000071,0.3289473684210573,0.3100000000000005,2.0749665327978613,10027957.0,12651097.666666666,13938758.2,10370876.0,9590080.0
KOCG,0.21859999999999857,0.885855888348112,0.3401999999999994,1.3854555672752276,4614.0,1694.3333333333333,1987.6,1055.6666666666667,967.8666666666667
MCA,0.03999999999999915,0.2587322121604084,-0.019999999999999574,-0.12886597938144057,51235.0,48622.666666666664,48291.8,45543.2,54452.13333333333
VRPX,0.09999999999999964,2.7027027027026933,0.040000000000000036,1.0638297872340436,346525.0,368628.6666666667,683109.8,602185.0666666667,464172.56666666665
CRTO,1.480000000000004,3.858185610010438,1.1700000000000017,3.0256012412723083,193261.0,372719.3333333333,332145.4,329136.73333333334,448125.43333333335
EOCW+,0.16999999999999993,16.34615384615384,-0.010000000000000009,-0.8196721311475417,2058.0,9629.333333333334,14902.6,13697.733333333334,10933.866666666667
IEZ,0.2400000000000002,1.8838304552590284,0.41000000000000014,3.2617342879872724,298192.0,272095.6666666667,281441.6,179993.46666666667,166144.1
LGHL,0.020000000000000018,1.1834319526627228,0.010000000000000009,0.5882352941176475,413274.0,447749.6666666667,388591.6,662990.4666666667,835770.0
GLPI,0.22000000000000597,0.4758814622539606,0.740000000000002,1.6189017720411332,685954.0,783544.0,926220.8,880998.8,805268.4
INKM,-0.010000000000005116,-0.028264556246481387,0.12999999999999545,0.36889897843358527,2888.0,3794.0,3594.6,6150.666666666667,17214.7
LHDX,-0.5100000000000007,-7.669172932330836,-0.6699999999999999,-9.838472834067549,276935.0,557608.3333333334,463973.2,374084.2,301776.8
OPFI+,-0.10010000000000008,-9.53333333333334,-0.1301000000000001,-12.046296296296305,76549.0,89140.33333333333,73153.2,82406.66666666667,90320.5
CENQ,-0.009999999999999787,-0.1007049345417904,-0.009999999999999787,-0.1007049345417904,7393.0,3711.6666666666665,55475.2,41993.26666666667,71766.8
CNC,-0.23000000000000398,-0.31944444444444997,0.7199999999999989,1.0133708655876128,5306769.0,4181770.0,4088956.2,3849678.7333333334,4175772.9
DELL,0.0,0.0,0.2700000000000031,0.46169630642955395,5165047.0,6647780.333333333,7201213.8,6331109.6,6881806.333333333
FTLB,-0.06500000000000128,-0.30232558139535476,0.3349999999999973,1.5876777251184706,873.0,1416.6666666666667,2213.8,1390.3333333333333,1477.9
PSMB,0.1781000000000006,1.0607504466944646,0.06810000000000116,0.4029585798816637,8086.0,8787.0,8448.4,7448.2,7863.6
OPP-A,-0.0951999999999984,-0.3908045977011429,-0.0951999999999984,-0.3908045977011429,11062.0,6460.666666666667,5190.8,10404.8,9411.766666666666
CMCSA,0.14999999999999858,0.2873563218390777,0.5700000000000003,1.1008111239860956,22334402.0,23614722.333333332,24719659.8,18268777.266666666,17423208.366666667
XHS,1.710000000000008,1.75402605395426,2.299999999999997,2.3735810113519062,9775.0,14682.0,29242.4,14499.6,14080.133333333333
CBIO,0.029999999999999805,2.7272727272727093,0.039999999999999813,3.6697247706421847,664657.0,775406.0,755777.6,975789.9333333333,824111.9666666667
EINC,0.580600000000004,1.1118345461509078,0.4843000000000046,0.9257153124360947,2332.0,3257.6666666666665,9452.4,5401.266666666666,4357.866666666667
VNLA,-0.020000000000003126,-0.04018485031143887,-0.020000000000003126,-0.04018485031143887,209330.0,346757.3333333333,445261.8,303987.73333333334,338430.2
ONCS,0.030000000000000027,2.4793388429752086,0.020000000000000018,1.6393442622950833,258772.0,223181.66666666666,296747.8,309217.4,251929.36666666667
WE,0.7699999999999996,9.935483870967737,0.8499999999999996,11.082138200782264,6098778.0,6493543.666666667,5357838.2,4695403.933333334,5178496.866666666
REGN,-17.360000000000014,-2.7025344043838366,-10.159999999999968,-1.5995969519491102,567552.0,593912.6666666666,758222.6,659383.7333333333,756718.0666666667
SBB,-0.26060000000000016,-1.5310858606629623,-0.4399999999999977,-2.5581395348837077,3962.0,2379.3333333333335,9734.2,4745.8,5031.7
GWIIW,0.0,0.0,0.029950000000000032,4.909433652979269,2635.0,3278.3333333333335,2547.0,9966.066666666668,18821.8
BRG-D,0.09990000000000165,0.39330708661417974,0.009900000000001796,0.03883876029816319,1171.0,1216.6666666666667,1396.6,1691.4,4610.833333333333
SOLY,0.00999999999999801,0.04975124378108463,-0.010000000000001563,-0.04970178926442129,107251.0,146719.66666666666,121112.6,115711.73333333334,105912.5
PSEP,0.0519999999999996,0.1746138347884473,0.20700000000000074,0.6987341772151924,14701.0,41690.333333333336,33167.2,20674.933333333334,56571.23333333333
ACP,-0.25,-2.3719165085388996,-0.10000000000000142,-0.9624639076034786,385883.0,274056.6666666667,249570.8,180154.06666666668,146313.13333333333
DSTX,0.015200000000000102,0.05988967691095391,0.3205999999999989,1.2785847032455109,1500.0,1914.0,2005.0,6762.266666666666,4669.633333333333
VIEWW,0.019999999999999907,2.9411764705882213,0.010000000000000009,1.449275362318842,3737.0,10609.0,16320.0,23050.933333333334,28765.966666666667
SGBX,0.20000000000000018,9.66183574879228,0.16999999999999993,8.095238095238091,2996241.0,1235747.3333333333,1022052.0,598865.6666666666,1011411.4333333333
ADI,-1.259999999999991,-0.6910925844668665,0.27000000000001023,0.14934454339289244,3938206.0,3564140.0,4017114.4,3414490.2,3157901.6666666665
POST,1.6899999999999977,1.7190519784355585,2.6599999999999966,2.732689541812201,474876.0,491355.6666666667,534469.4,458007.8,388333.5333333333
SHCAU,0.0,0.0,-0.009999999999999787,-0.09910802775024566,22937.0,17415.0,23525.0,63640.73333333333,922493.7142857143
UNM,0.07000000000000028,0.2969876962240148,0.4299999999999997,1.8526497199482967,2568743.0,2857120.6666666665,2938647.2,2353158.6666666665,2554435.7
DOGZ,0.46999999999999975,11.435523114355224,0.3600000000000003,8.530805687203799,463168.0,371974.3333333333,437357.4,1120435.2666666666,1530179.9333333333
CNCE,0.10999999999999988,3.26409495548961,0.08000000000000007,2.35294117647059,198100.0,175348.66666666666,162807.4,204649.6,1607603.5333333334
SBEAW,-0.010700000000000154,-0.6903225806451712,-0.05070000000000019,-3.1886792452830304,309576.0,218446.33333333334,176779.8,192007.26666666666,1086516.9666666666
HZO,1.0399999999999991,1.9622641509433947,1.6599999999999966,3.1691485299732656,183603.0,202392.33333333334,196752.6,201282.6,261315.1
HGLB,-0.009999999999999787,-0.11428571428571184,0.0,0.0,85752.0,87809.33333333333,105066.0,93272.2,81182.96666666666
RGR,0.20000000000000284,0.30773965225419736,0.6799999999999926,1.0541001395132423,264884.0,352780.0,296727.0,217454.26666666666,185682.43333333332
IMVT,0.0600000000000005,0.7905138339921014,0.05000000000000071,0.6578947368421146,370875.0,487652.6666666667,632816.6,580383.6666666666,526094.8666666667
MFUS,-0.09210000000000207,-0.22859270290395153,0.5034999999999954,1.2684408883872673,5650.0,2945.3333333333335,2865.2,2399.733333333333,2292.2
HBM,0.0699999999999994,1.046337817638257,0.17999999999999972,2.7355623100303905,717373.0,942499.3333333334,1181737.4,1095041.0,1166822.0333333334
BOAT,0.3999999999999986,1.4367816091953973,0.639999999999997,2.318840579710134,20689.0,27708.333333333332,29653.4,16114.666666666666,14221.433333333332
URGN,-0.040000000000000924,-0.3536693191865687,-0.22000000000000064,-1.9147084421235911,188318.0,132057.66666666666,144298.4,202316.0,146958.0
MYGN,0.3999999999999986,1.624695369618191,0.6400000000000006,2.625102543068091,386574.0,455121.6666666667,538338.2,542027.2666666667,524218.36666666664
ASAQ+,0.010000000000000009,1.6129032258064528,-0.020000000000000018,-3.0769230769230793,53131.0,27751.333333333332,24685.4,17677.133333333335,21895.3
AAAU,0.00999999999999801,0.056593095642320373,-0.03999999999999915,-0.2257336343115076,182507.0,204291.66666666666,207013.2,263469.4,260202.4
APT,-0.27000000000000046,-5.000000000000008,-0.3600000000000003,-6.557377049180333,676210.0,1127678.0,2021944.4,1779631.0666666667,1019262.2
JKS,0.4720000000000013,1.074974947617749,0.8000000000000043,1.835704451583305,2684531.0,2075046.3333333333,1876231.6,1361171.4666666666,1319414.6
ACV,0.010000000000005116,0.03029385034839478,0.10000000000000142,0.3037667071688986,28428.0,31429.333333333332,34906.4,29228.133333333335,25185.433333333334
COMM,-0.05999999999999872,-0.5836575875486257,0.14000000000000057,1.3888888888888946,4029334.0,3116808.3333333335,3632636.2,3874641.8666666667,4305213.133333334
WNEB,-0.019999999999999574,-0.2222222222222175,-0.009999999999999787,-0.11123470522802878,21947.0,30858.333333333332,32962.4,32991.333333333336,32385.3
